Basis,Type,Atom,Shell,Hole,Electron,Overlap,Diff
1,S,1(C),1,0.02,0.00,0.00,-0.02
2,X,1(C),2,0.19,10.67,1.44,10.48
3,Y,1(C),2,0.24,6.26,1.22,6.02
4,Z,1(C),2,0.19,5.03,0.97,4.85
5,S,2(C),3,0.00,-0.00,0.00,-0.00
6,X,2(C),4,0.11,2.88,0.56,2.77
7,Y,2(C),4,0.16,1.75,0.53,1.59
8,Z,2(C),4,0.05,1.41,0.27,1.35
9,S,3(C),5,0.02,0.00,0.00,-0.02
10,X,3(C),6,1.80,18.34,5.75,16.54
11,Y,3(C),6,0.22,12.34,1.65,12.12
12,Z,3(C),6,3.70,14.09,7.22,10.39
13,S,4(N),7,4.85,0.00,0.01,-4.85
14,X,4(N),8,24.91,3.54,9.38,-21.37
15,Y,4(N),8,2.03,2.44,2.23,0.42
16,Z,4(N),8,18.50,2.92,7.35,-15.59
17,S,5(C),9,0.31,0.00,0.02,-0.31
18,X,5(C),10,0.98,0.94,0.96,-0.04
19,Y,5(C),10,1.46,0.68,1.00,-0.78
20,Z,5(C),10,-0.04,0.57,0.00,0.62
21,S,6(N),11,0.10,0.00,0.00,-0.10
22,X,6(N),12,1.74,2.04,1.88,0.30
23,Y,6(N),12,0.34,1.17,0.63,0.84
24,Z,6(N),12,0.67,1.38,0.97,0.71
25,S,7(C),13,0.40,0.00,0.01,-0.40
26,X,7(C),14,0.18,0.90,0.40,0.72
27,Y,7(C),14,0.63,0.55,0.59,-0.08
28,Z,7(C),14,0.04,0.65,0.15,0.62
29,S,8(N),15,2.97,0.00,0.02,-2.97
30,X,8(N),16,3.97,3.53,3.74,-0.44
31,Y,8(N),16,6.41,2.41,3.93,-4.01
32,Z,8(N),16,20.04,2.79,7.47,-17.25
33,S,9(N),17,0.06,0.00,0.00,-0.06
34,X,9(N),18,0.15,0.14,0.14,-0.02
35,Y,9(N),18,0.12,0.08,0.10,-0.04
36,Z,9(N),18,0.16,0.09,0.12,-0.07
37,S,10(N),19,0.03,0.00,0.01,-0.03
38,X,10(N),20,0.06,0.14,0.09,0.08
39,Y,10(N),20,0.04,0.10,0.06,0.06
40,Z,10(N),20,0.24,0.12,0.17,-0.12
41,S,11(C),21,0.02,0.00,0.00,-0.02
42,X,11(C),22,0.39,0.00,0.02,-0.39
43,Y,11(C),22,0.31,0.00,0.02,-0.31
44,Z,11(C),22,0.10,0.01,0.03,-0.09
45,S,12(C),23,0.01,0.00,0.00,-0.01
46,X,12(C),24,0.01,0.00,0.00,-0.01
47,Y,12(C),24,0.23,0.00,0.02,-0.23
48,Z,12(C),24,0.05,0.00,0.00,-0.05
49,S,13(C),25,0.00,-0.00,0.00,-0.00
50,X,13(C),26,0.03,0.00,0.00,-0.03
51,Y,13(C),26,0.05,0.00,0.00,-0.05
52,Z,13(C),26,0.00,0.00,0.00,-0.00
53,S,14(C),27,0.00,0.00,0.00,-0.00
54,X,14(C),28,0.00,0.00,0.00,-0.00
55,Y,14(C),28,0.01,0.01,0.01,0.01
56,Z,14(C),28,0.02,0.00,0.00,-0.01
57,S,15(H),29,0.06,0.00,0.01,-0.05
58,S,16(H),30,0.11,0.00,0.01,-0.11
59,S,17(H),31,0.01,0.01,0.01,-0.00
60,S,18(H),32,0.03,0.00,0.00,-0.03
61,S,19(H),33,0.06,0.00,0.00,-0.06
62,S,20(H),34,0.02,0.00,0.01,-0.02
63,S,21(H),35,0.34,0.00,0.03,-0.34
64,S,22(H),36,0.01,0.00,0.00,-0.01
65,S,23(H),37,0.00,0.00,0.00,-0.00
66,S,24(H),38,0.01,0.00,0.00,-0.01
67,S,25(H),39,0.03,0.00,0.00,-0.03
68,S,26(H),40,0.01,0.01,0.01,0.00
69,S,27(H),41,0.02,0.00,0.01,-0.02
