Basis,Type,Atom,Shell,Hole,Electron,Overlap,Diff
1,S,1(C),1,0.00,0.00,0.00,-0.00
2,X,1(C),2,0.01,0.01,0.01,-0.00
3,Y,1(C),2,0.07,0.00,0.01,-0.07
4,Z,1(C),2,0.01,0.00,0.01,-0.01
5,S,2(C),3,0.01,0.01,0.01,0.00
6,X,2(C),4,-0.00,0.00,0.00,0.00
7,Y,2(C),4,0.28,0.05,0.12,-0.23
8,Z,2(C),4,0.01,-0.00,0.00,-0.01
9,S,3(C),5,0.02,0.11,0.05,0.09
10,X,3(C),6,0.05,0.37,0.14,0.32
11,Y,3(C),6,0.32,0.10,0.18,-0.22
12,Z,3(C),6,0.16,0.18,0.17,0.02
13,S,4(C),7,0.01,0.27,0.04,0.26
14,X,4(C),8,0.01,0.08,0.02,0.08
15,Y,4(C),8,0.35,0.32,0.33,-0.03
16,Z,4(C),8,0.35,0.11,0.20,-0.24
17,S,5(C),9,0.23,0.01,0.05,-0.22
18,X,5(C),10,1.05,-0.03,0.00,-1.08
19,Y,5(C),10,0.81,-0.16,0.00,-0.97
20,Z,5(C),10,3.50,0.05,0.41,-3.45
21,S,6(C),11,0.37,0.01,0.07,-0.36
22,X,6(C),12,0.04,9.56,0.64,9.52
23,Y,6(C),12,0.04,58.47,1.47,58.43
24,Z,6(C),12,1.92,0.41,0.89,-1.51
25,S,7(O),13,0.00,-0.00,0.00,-0.00
26,X,7(O),14,2.81,2.98,2.90,0.16
27,Y,7(O),14,0.14,19.16,1.64,19.02
28,Z,7(O),14,73.12,0.11,2.83,-73.01
29,S,8(N),15,0.37,0.12,0.21,-0.25
30,X,8(N),16,1.22,0.37,0.67,-0.86
31,Y,8(N),16,0.04,2.89,0.35,2.85
32,Z,8(N),16,1.89,0.07,0.37,-1.81
33,S,9(S),17,0.00,0.00,0.00,0.00
34,X,9(S),18,0.71,0.23,0.40,-0.48
35,Y,9(S),18,0.00,0.08,0.01,0.07
36,Z,9(S),18,0.04,0.04,0.04,0.01
37,S,10(C),19,0.00,0.20,0.01,0.20
38,X,10(C),20,0.07,0.10,0.09,0.03
39,Y,10(C),20,0.00,0.02,0.01,0.02
40,Z,10(C),20,0.10,0.44,0.21,0.33
41,S,11(N),21,0.01,0.00,0.00,-0.01
42,X,11(N),22,0.18,0.03,0.07,-0.15
43,Y,11(N),22,0.22,0.01,0.06,-0.21
44,Z,11(N),22,0.10,0.15,0.12,0.05
45,S,12(C),23,0.00,0.07,0.00,0.07
46,X,12(C),24,0.00,0.03,0.01,0.02
47,Y,12(C),24,0.00,0.11,0.01,0.11
48,Z,12(C),24,0.05,0.00,0.01,-0.04
49,S,13(C),25,-0.00,0.09,0.00,0.09
50,X,13(C),26,1.94,0.47,0.95,-1.47
51,Y,13(C),26,0.26,0.12,0.18,-0.14
52,Z,13(C),26,-0.00,0.05,0.00,0.05
53,S,14(C),27,0.11,0.00,0.01,-0.11
54,X,14(C),28,0.51,0.08,0.21,-0.43
55,Y,14(C),28,0.00,0.00,0.00,0.00
56,Z,14(C),28,1.64,0.02,0.18,-1.62
57,S,15(C),29,0.03,-0.00,0.00,-0.03
58,X,15(C),30,0.83,0.04,0.18,-0.79
59,Y,15(C),30,0.30,0.01,0.06,-0.29
60,Z,15(C),30,0.06,0.01,0.02,-0.05
61,S,16(C),31,0.00,0.00,0.00,-0.00
62,X,16(C),32,0.07,0.16,0.11,0.09
63,Y,16(C),32,0.08,0.08,0.08,0.01
64,Z,16(C),32,0.03,0.08,0.05,0.05
65,S,17(C),33,0.00,0.02,0.00,0.02
66,X,17(C),34,0.19,0.03,0.07,-0.17
67,Y,17(C),34,0.05,0.01,0.02,-0.05
68,Z,17(C),34,0.26,0.13,0.18,-0.14
